21,Column1,Column2,Column3
2943,-0.059635,-0.016542,0.972655
2959,-0.059879,-0.020326,0.969481
2974,-0.057682,-0.019471,0.964353
2990,-0.06464,-0.020936,0.96533
3006,-0.065739,-0.028017,0.965086
3022,-0.058658,-0.025087,0.961423
3037,-0.056949,-0.022035,0.962034
3053,-0.058536,-0.016053,0.96472
3068,-0.059757,-0.011658,0.957517
3084,-0.057438,-0.011292,0.95007
3100,-0.066227,-0.006653,0.950314
3115,-0.075505,-0.015321,0.947018
3131,-0.063908,-0.023988,0.959104
3146,-0.053531,-0.026308,0.952145
3162,-0.048038,-0.025819,0.935909
3178,-0.045474,-0.022279,0.94067
3193,-0.053653,-0.02411,0.937008
3209,-0.058658,-0.022645,0.93066
3224,-0.050357,-0.025209,0.930171
3241,-0.044742,-0.016297,0.927364
3256,-0.044497,-0.030703,0.927852
3271,-0.059147,-0.020814,0.924312
3287,-0.054508,-0.031923,0.912226
3303,-0.044864,-0.020326,0.868278
3318,-0.047061,-0.056583,0.913935
3334,-0.078069,-0.044742,0.93774
3350,-0.075627,-0.036684,0.9436
3365,-0.059879,-0.056461,0.938351
3381,-0.070012,-0.048404,0.942135
3396,-0.075993,-0.046695,0.946774
3412,-0.069035,-0.053287,0.942379
3428,-0.088201,-0.091864,0.977538
3443,-0.089666,-0.086736,0.971312
3459,-0.087102,-0.0987,0.959592
3475,-0.085027,-0.109687,0.973143
3490,-0.09516,-0.119087,0.984984
3506,-0.087225,-0.123726,0.9812
3522,-0.075627,-0.12043,0.988281
3537,-0.091131,-0.098089,0.985473
3553,-0.095282,-0.110663,1.003418
3568,-0.110541,-0.117012,0.984374
3584,-0.097845,-0.115913,0.982543
3600,-0.088201,-0.114326,0.978758
3615,-0.082708,-0.117744,0.981688
3631,-0.081731,-0.103827,0.982177
3647,-0.082708,-0.117866,0.959836
3662,-0.089788,-0.103461,0.963133
3678,-0.107367,-0.090521,0.959348
3693,-0.106757,-0.100043,0.975218
3709,-0.104682,-0.084783,0.968016
3724,-0.091375,-0.086492,0.952634
3740,-0.088079,-0.097235,0.942746
3756,-0.084173,-0.09284,0.947873
3771,-0.087957,-0.088934,0.945065
3787,-0.089788,-0.084295,0.952878
3803,-0.093206,-0.094549,0.951779
3818,-0.091253,-0.086492,0.946408
3834,-0.084051,-0.100165,0.958738
3849,-0.081487,-0.095648,0.959348
3865,-0.079778,-0.103949,0.952268
3881,-0.083806,-0.120186,0.956662
3896,-0.11164,-0.110663,0.948605
3912,-0.103095,-0.09516,0.947995
3928,-0.089056,-0.092108,0.957639
3943,-0.085515,-0.107367,0.954099
3959,-0.086248,-0.120063,0.951291
3971,-0.097723,-0.115058,0.952634
3987,-0.091986,-0.098944,0.962522
4002,-0.088079,-0.092474,0.961301
4019,-0.086248,-0.109321,0.943234
4034,-0.085271,-0.106879,0.933223
4050,-0.085393,-0.116645,0.935787
4066,-0.088567,-0.104438,0.941891
4081,-0.080144,-0.117256,0.941769
4097,-0.090887,-0.113471,0.945675
4112,-0.080388,-0.10224,0.949582
4128,-0.079412,-0.092718,0.949826
4144,-0.083562,-0.099799,0.946164
4159,-0.086858,-0.106147,0.943234
4175,-0.081975,-0.113838,0.950925
4191,-0.084051,-0.106635,0.956907
4206,-0.094915,-0.115058,0.951657
4222,-0.093084,-0.111274,0.95361
4238,-0.081731,-0.119209,0.94592
4253,-0.081853,-0.118599,0.953366
4269,-0.08991,-0.112617,0.965696
4285,-0.091253,-0.111274,0.965208
4300,-0.080388,-0.109443,0.958127
4316,-0.07697,-0.122261,0.942135
4331,-0.081487,-0.12336,0.940914
4347,-0.095404,-0.117012,0.947995
4362,-0.105536,-0.106513,0.948361
4378,-0.091619,-0.102118,0.948849
4394,-0.0893,-0.0987,0.941403
4410,-0.088812,-0.100775,0.942379
4425,-0.090032,-0.099188,0.943844
4441,-0.098089,-0.106879,0.943356
4456,-0.096869,-0.110175,0.941036
4472,-0.089422,-0.112495,0.953732
4488,-0.088567,-0.113838,0.945797
4503,-0.093084,-0.118965,0.938839
4519,-0.094305,-0.119453,0.949582
4534,-0.092108,-0.125557,0.962766
4550,-0.100897,-0.115791,0.970945
4566,-0.107245,-0.11396,0.954831
4581,-0.105048,-0.112617,0.954709
4597,-0.098944,-0.107734,0.955197
4612,-0.101386,-0.11396,0.95239
4628,-0.104804,-0.110786,0.956174
4644,-0.089178,-0.118476,0.959714
4660,-0.078435,-0.131783,0.949948
4675,-0.08991,-0.128609,0.945431
4691,-0.104071,-0.138863,0.942257
4706,-0.09516,-0.121406,0.94067
4722,-0.082341,-0.123115,0.947507
4738,-0.090521,-0.117744,0.952878
4753,-0.10224,-0.117866,0.956296
4769,-0.091864,-0.113105,0.950192
4784,-0.074162,-0.120063,0.946652
4800,-0.081731,-0.126778,0.946164
4816,-0.088323,-0.131295,0.950559
4831,-0.089422,-0.128487,0.94653
4847,-0.087469,-0.124214,0.936642
4862,-0.08698,-0.130318,0.93713
4878,-0.093084,-0.124092,0.952023
4894,-0.086492,-0.117988,0.951779
4910,-0.086736,-0.13044,0.945431
4925,-0.087469,-0.122505,0.939449
4941,-0.091497,-0.116889,0.948239
4956,-0.098089,-0.12104,0.957883
4972,-0.101019,-0.120186,0.959714
4988,-0.093695,-0.122627,0.961301
5003,-0.094061,-0.120674,0.957395
5019,-0.089056,-0.123237,0.951291
5034,-0.093206,-0.123604,0.949948
5050,-0.088445,-0.126656,0.942501
5066,-0.100409,-0.126167,0.930294
5081,-0.10456,-0.125801,0.947384
5097,-0.094671,-0.127754,0.949338
5113,-0.087347,-0.124458,0.945065
5128,-0.097113,-0.111884,0.946652
5144,-0.08576,-0.12458,0.961912
5160,-0.077214,-0.137643,0.958005
5175,-0.084295,-0.145334,0.948972
5191,-0.088934,-0.13923,0.942868
5206,-0.106635,-0.128487,0.943112
5222,-0.091497,-0.129097,0.950803
5238,-0.07758,-0.125679,0.944088
5253,-0.073918,-0.127754,0.940792
5269,-0.092474,-0.135323,0.937374
5284,-0.114692,-0.135079,0.937374
5300,-0.093817,-0.12458,0.953855
5316,-0.082952,-0.114448,0.962522
5331,-0.105414,-0.111396,0.9624
5347,-0.11518,-0.11457,0.963987
5362,-0.103949,-0.125435,0.966307
5378,-0.104438,-0.123482,0.957639
5394,-0.103461,-0.133126,0.955197
5409,-0.119331,-0.13044,0.937374
5425,-0.119087,-0.119941,0.937374
5441,-0.103095,-0.111518,0.951047
5456,-0.087835,-0.124702,0.951901
5472,-0.099432,-0.133126,0.947384
5487,-0.110053,-0.120918,0.954343
5503,-0.098212,-0.113349,0.956296
5519,-0.085515,-0.129708,0.94653
5534,-0.078557,-0.131905,0.944699
5550,-0.091131,-0.130562,0.9436
5566,-0.107245,-0.143991,0.933712
5581,-0.099066,-0.119209,0.944699
5597,-0.094793,-0.120552,0.951169
5613,-0.093206,-0.122505,0.957761
5628,-0.097113,-0.120186,0.953244
5644,-0.096014,-0.122505,0.956418
5659,-0.100165,-0.123726,0.957029
5675,-0.093084,-0.122627,0.945797
5691,-0.088567,-0.127632,0.939938
5706,-0.100897,-0.118599,0.943722
5722,-0.103217,-0.12983,0.945797
5738,-0.089788,-0.131783,0.943722
5753,-0.094671,-0.130318,0.946652
5769,-0.088079,-0.134957,0.961301
5785,-0.085882,-0.130562,0.954465
5800,-0.089544,-0.129097,0.956296
5816,-0.107001,-0.127022,0.956418
5831,-0.100775,-0.125191,0.952512
5847,-0.090521,-0.133126,0.94714
5862,-0.096136,-0.122017,0.941403
5878,-0.103095,-0.112739,0.950925
5894,-0.093328,-0.114692,0.943966
5909,-0.090521,-0.122017,0.938961
5925,-0.087713,-0.127632,0.939327
5941,-0.087225,-0.130074,0.944455
5956,-0.095648,-0.130806,0.945065
5972,-0.09284,-0.132149,0.950681
5988,-0.091986,-0.122993,0.950436
6003,-0.097479,-0.127144,0.958249
6019,-0.09577,-0.124825,0.956052
6034,-0.085149,-0.12397,0.953244
6050,-0.093206,-0.125679,0.956174
6066,-0.102728,-0.130684,0.951169
6081,-0.093817,-0.131661,0.95239
6097,-0.091131,-0.128609,0.949948
6113,-0.094427,-0.124214,0.949704
6128,-0.099066,-0.126778,0.946408
6144,-0.09931,-0.124702,0.951291
6160,-0.092962,-0.120674,0.94946
6175,-0.085271,-0.127876,0.948727
6191,-0.089544,-0.129463,0.941403
6206,-0.086614,-0.130074,0.941647
6222,-0.08283,-0.129219,0.93713
6238,-0.099799,-0.127754,0.944332
6253,-0.10224,-0.123115,0.951169
6269,-0.099066,-0.114082,0.951535
6285,-0.091131,-0.120186,0.956052
6300,-0.092596,-0.11811,0.953855
6316,-0.097723,-0.123115,0.946896
6331,-0.091375,-0.122993,0.948117
6347,-0.084661,-0.138009,0.94299
6362,-0.090276,-0.129341,0.94592
6378,-0.094183,-0.134469,0.950803
6394,-0.089422,-0.142282,0.951779
6410,-0.083074,-0.12043,0.95239
6425,-0.080632,-0.130074,0.950803
6441,-0.086492,-0.136666,0.950314
6456,-0.094549,-0.139352,0.947018
6472,-0.091986,-0.128853,0.948727
6487,-0.090765,-0.125801,0.946164
6503,-0.092108,-0.131783,0.942379
6519,-0.099188,-0.128853,0.949094
6534,-0.095404,-0.121162,0.954465
6550,-0.106757,-0.126045,0.945553
6566,-0.104193,-0.12104,0.95007
6582,-0.106391,-0.115669,0.949338
6597,-0.0987,-0.13105,0.947018
6613,-0.103217,-0.131173,0.94653
6628,-0.100287,-0.132515,0.954221
6644,-0.093573,-0.1269,0.950436
6660,-0.093084,-0.132271,0.947629
6675,-0.082341,-0.139962,0.947507
6691,-0.095892,-0.128243,0.954953
6706,-0.092474,-0.138497,0.947262
6722,-0.088567,-0.132515,0.945065
6738,-0.089422,-0.131905,0.94592
6753,-0.088201,-0.134224,0.939327
6769,-0.087591,-0.142404,0.931881
6785,-0.081243,-0.134224,0.941891
6800,-0.092352,-0.134591,0.947384
6816,-0.096747,-0.131539,0.946408
6832,-0.088201,-0.136178,0.952145
6847,-0.084783,-0.122627,0.955808
6863,-0.08869,-0.13276,0.949826
6878,-0.096502,-0.143014,0.940426
6894,-0.104682,-0.137032,0.958127
6910,-0.10285,-0.132271,0.950192
6925,-0.097845,-0.13691,0.949216
6941,-0.099066,-0.132393,0.95239
6957,-0.10163,-0.118476,0.960691
6972,-0.097113,-0.127022,0.960447
6988,-0.095282,-0.135201,0.947995
7003,-0.094671,-0.140939,0.949338
7019,-0.10163,-0.139718,0.942257
7035,-0.097235,-0.137765,0.945675
7050,-0.103583,-0.143014,0.938961
7066,-0.093939,-0.139718,0.940914
7082,-0.090032,-0.132393,0.951169
7097,-0.087225,-0.135201,0.949338
7113,-0.081121,-0.142526,0.946774
7128,-0.086126,-0.138009,0.95532
7144,-0.091497,-0.135567,0.950559
7160,-0.095526,-0.135812,0.945309
7175,-0.097235,-0.144235,0.943966
7191,-0.101752,-0.130928,0.942501
7206,-0.094427,-0.133126,0.941769
7222,-0.097235,-0.135323,0.943234
7238,-0.102728,-0.140573,0.946896
7253,-0.099676,-0.13105,0.948849
7269,-0.099799,-0.125191,0.947995
7285,-0.090643,-0.135934,0.950436
7300,-0.085515,-0.141427,0.952878
7316,-0.09931,-0.140328,0.944699
7332,-0.104682,-0.141305,0.947873
7349,-0.10224,-0.130074,0.95239
7363,-0.094427,-0.136056,0.95532
7378,-0.093939,-0.138131,0.946286
7394,-0.09638,-0.137521,0.946408
7410,-0.097967,-0.138009,0.939816
7425,-0.096136,-0.132393,0.943844
7441,-0.091497,-0.133736,0.944088
7456,-0.092474,-0.140206,0.944943
7472,-0.087469,-0.146554,0.941159
7488,-0.100287,-0.140695,0.940792
7503,-0.101386,-0.13276,0.947262
7519,-0.093206,-0.13337,0.949582
7534,-0.101264,-0.137276,0.948239
7550,-0.096625,-0.13337,0.94653
7566,-0.104926,-0.137399,0.949094
7581,-0.104438,-0.144845,0.955686
7597,-0.0987,-0.134835,0.955808
7613,-0.100409,-0.137032,0.949948
7628,-0.10517,-0.137765,0.942501
7644,-0.110663,-0.134469,0.944943
7660,-0.10456,-0.137032,0.939205
7675,-0.100531,-0.141671,0.956174
7691,-0.106513,-0.137032,0.950192
7706,-0.098578,-0.139962,0.947629
7722,-0.094549,-0.14924,0.944332
7738,-0.100165,-0.144235,0.949704
7753,-0.101508,-0.138497,0.950436
7769,-0.101019,-0.140573,0.952145
7785,-0.094915,-0.143624,0.954221
7800,-0.104438,-0.142037,0.952145
7816,-0.100043,-0.14216,0.952878
7832,-0.098578,-0.135201,0.952145
7847,-0.095282,-0.142404,0.938107
7863,-0.09223,-0.136422,0.933346
7878,-0.099799,-0.140817,0.938595
7894,-0.107001,-0.141305,0.939816
7910,-0.098822,-0.137521,0.944332
7925,-0.09638,-0.137399,0.941647
7941,-0.101996,-0.138619,0.951779
7956,-0.10871,-0.139718,0.953244
7972,-0.09931,-0.145456,0.954953
7988,-0.098822,-0.140817,0.950436
8003,-0.104071,-0.147897,0.952268
8019,-0.107245,-0.136178,0.952512
8035,-0.099799,-0.137276,0.950681
8050,-0.100653,-0.138863,0.942746
8066,-0.09577,-0.141915,0.946774
8081,-0.098456,-0.140817,0.94592
8097,-0.100531,-0.139352,0.939816
8113,-0.099554,-0.14631,0.932491
8128,-0.094427,-0.141915,0.938351
8144,-0.091497,-0.135445,0.941281
8159,-0.092962,-0.146066,0.938351
8175,-0.097357,-0.138741,0.943478
8191,-0.096625,-0.135567,0.946652
8206,-0.095282,-0.143258,0.943844
8222,-0.092352,-0.153635,0.946774
8238,-0.100409,-0.144357,0.949338
8253,-0.101752,-0.143136,0.954831
8269,-0.099921,-0.148752,0.95007
8285,-0.098578,-0.14924,0.941036
8300,-0.105048,-0.144357,0.948117
8316,-0.110175,-0.141183,0.945431
8331,-0.111884,-0.137643,0.945797
8347,-0.114814,-0.150461,0.938717
8363,-0.119331,-0.144723,0.945065
8378,-0.117012,-0.139718,0.950559
8394,-0.118965,-0.146798,0.954709
8410,-0.118965,-0.141061,0.956296
8425,-0.119697,-0.141549,0.959958
8441,-0.116645,-0.141793,0.958372
8456,-0.112006,-0.148019,0.949704
8472,-0.118232,-0.149728,0.94946
8488,-0.116157,-0.145212,0.948972
8503,-0.108832,-0.14338,0.951779
8519,-0.114204,-0.140084,0.948727
8535,-0.110297,-0.147165,0.947262
8550,-0.107734,-0.14216,0.94299
8566,-0.101019,-0.14985,0.946286
8581,-0.103705,-0.144235,0.946774
8597,-0.109443,-0.150827,0.943966
8613,-0.100653,-0.142404,0.950436
8628,-0.091864,-0.14631,0.944455
8644,-0.09577,-0.142892,0.944088
8660,-0.102362,-0.147043,0.940914
8675,-0.105536,-0.146921,0.939816
8691,-0.098089,-0.147775,0.939694
8706,-0.095038,-0.151682,0.937252
8722,-0.101264,-0.14985,0.946286
8738,-0.097845,-0.145089,0.942623
8753,-0.104193,-0.151193,0.950192
8769,-0.106635,-0.144845,0.945797
8785,-0.10224,-0.147653,0.946408
8800,-0.09516,-0.151926,0.943966
8816,-0.09931,-0.151193,0.941769
8831,-0.104804,-0.146066,0.944455
8847,-0.108954,-0.154734,0.92834
8863,-0.100653,-0.15803,0.942257
8878,-0.096991,-0.144723,0.957395
8894,-0.097113,-0.122505,0.979247
8910,-0.100165,-0.145456,0.979857
8925,-0.097967,-0.157541,0.958249
8941,-0.090276,-0.14863,0.945553
8956,-0.093328,-0.153269,0.942501
8972,-0.101386,-0.159006,0.938961
8988,-0.099188,-0.153513,0.939571
9003,-0.087102,-0.160105,0.930049
9019,-0.091375,-0.159128,0.94421
9034,-0.088934,-0.150095,0.949582
9050,-0.08344,-0.146432,0.948117
9066,-0.08869,-0.150949,0.949338
9081,-0.089422,-0.16096,0.942623
9097,-0.086126,-0.158518,0.937862
9113,-0.091619,-0.166087,0.94421
9128,-0.097235,-0.15571,0.946164
9144,-0.098578,-0.148752,0.941647
9159,-0.093573,-0.153879,0.949826
9175,-0.087591,-0.155466,0.946652
9191,-0.086858,-0.155222,0.947873
9206,-0.091253,-0.158518,0.946652
9222,-0.088567,-0.166697,0.94067
9238,-0.086004,-0.157175,0.94299
9253,-0.093939,-0.15803,0.948849
9269,-0.106147,-0.156076,0.945675
9285,-0.091009,-0.153635,0.954587
9300,-0.089056,-0.147653,0.946408
9316,-0.08283,-0.15571,0.945309
9331,-0.088445,-0.162791,0.957883
9349,-0.088934,-0.160593,0.957517
9363,-0.08869,-0.164256,0.947507
9378,-0.081121,-0.16743,0.953366
9394,-0.083562,-0.159128,0.943112
9410,-0.073796,-0.162302,0.948972
9425,-0.080754,-0.161814,0.950925
9441,-0.081243,-0.17097,0.954831
9456,-0.078069,-0.165721,0.944821
9472,-0.07636,-0.168773,0.947384
9488,-0.078069,-0.163157,0.949826
9503,-0.078923,-0.161814,0.939816
9519,-0.067448,-0.158274,0.934444
9534,-0.069279,-0.154245,0.942135
9550,-0.075993,-0.174022,0.949216
9566,-0.07343,-0.160471,0.941036
9581,-0.065251,-0.147775,0.945675
9597,-0.069523,-0.154734,0.937496
9613,-0.063419,-0.160715,0.944699
9628,-0.058048,-0.164866,0.9436
9644,-0.060001,-0.163401,0.947995
9659,-0.065251,-0.176585,0.937008
9675,-0.068547,-0.171702,0.942501
9691,-0.067448,-0.1833,0.949582
9706,-0.061832,-0.173656,0.94299
9722,-0.057316,-0.16804,0.942501
9738,-0.059025,-0.180614,0.954709
9753,-0.062809,-0.175609,0.956907
9769,-0.064518,-0.16804,0.952634
9785,-0.063297,-0.170726,0.94714
9800,-0.063541,-0.165232,0.943112
9816,-0.060856,-0.171214,0.949216
9831,-0.063053,-0.165232,0.953
9847,-0.060245,-0.168528,0.950314
9862,-0.055851,-0.171702,0.938229
9878,-0.060734,-0.177196,0.932979
9894,-0.065129,-0.180004,0.935909
9910,-0.058536,-0.175121,0.951047
9925,-0.057316,-0.1739,0.949582
9941,-0.053287,-0.178539,0.958127
9956,-0.055606,-0.168773,0.957639
9972,-0.062565,-0.172191,0.957517
9987,-0.061466,-0.167918,0.942135
10003,-0.059391,-0.173411,0.947384
10019,-0.061832,-0.172557,0.946652
10034,-0.061344,-0.172191,0.94006
10050,-0.048038,-0.172557,0.937008
10066,-0.056095,-0.169749,0.944699
10081,-0.05109,-0.166697,0.947384
10097,-0.058536,-0.171458,0.945675
10113,-0.065129,-0.162302,0.951657
10128,-0.066715,-0.161082,0.959592
10144,-0.059147,-0.172435,0.956662
10159,-0.059757,-0.174632,0.93774
10175,-0.050113,-0.1551,0.951047
10191,-0.052188,-0.177196,0.945797
10206,-0.049869,-0.186718,0.932979
10222,-0.054264,-0.174266,0.955564
10238,-0.0329,-0.147653,0.969603
10253,-0.047183,-0.210523,0.950314
10269,-0.045718,-0.174144,0.953122
10285,-0.032656,-0.160349,0.957517
10300,-0.035342,-0.174998,0.946408
10316,-0.034853,-0.191235,0.945431
10331,-0.038271,-0.189648,0.945797
10348,-0.034609,-0.174632,0.941036
10362,-0.027895,-0.195019,0.936275
10378,-0.031191,-0.179027,0.948117
10394,-0.019838,-0.159617,0.949582
10410,-0.017884,-0.180248,0.942379
10425,-0.028139,-0.185497,0.94714
10441,-0.034487,-0.195385,0.942623
10456,-0.031801,-0.167918,0.946042
10472,-0.022279,-0.184154,0.94592
10488,-0.025942,-0.188305,0.946042
10503,-0.028383,-0.192456,0.942868
10519,-0.025575,-0.179149,0.956907
10534,-0.019838,-0.179027,0.959348
10550,-0.021791,-0.185497,0.94653
10566,-0.017884,-0.188915,0.950925
10581,-0.025697,-0.189648,0.951535
10597,-0.024843,-0.199292,0.951901
10613,-0.016664,-0.194897,0.952512
10628,-0.017396,-0.181591,0.95886
10644,-0.015809,-0.187572,0.951047
10660,-0.003357,-0.191357,0.941891
10675,-0.004578,-0.184765,0.933346
10691,-0.014588,-0.16804,0.94067
10706,-0.023622,-0.179882,0.952634
10722,-0.008973,-0.191845,0.945187
10738,0.002747,-0.184521,0.943356
10753,-0.004456,-0.188793,0.946042
10769,-0.010316,-0.192334,0.949216
10785,0.000916,-0.199292,0.951291
10800,-0.003845,-0.193188,0.950681
10816,-0.005921,-0.188793,0.952512
10831,-0.004456,-0.19917,0.952512
10847,-0.002991,-0.189282,0.941525
10863,-0.008484,-0.187817,0.947262
10878,-0.018006,-0.182689,0.950925
10894,-0.010316,-0.180248,0.955075
10910,-0.002747,-0.187206,0.94299
10925,-0.002869,-0.174632,0.954831
10941,-0.007752,-0.188305,0.946286
10957,-0.015687,-0.185497,0.946896
10972,-0.020936,-0.184887,0.952756
10988,-0.023866,-0.189282,0.950925
11003,-0.015809,-0.188183,0.943966
11019,0.002503,-0.184521,0.936275
11035,0.004456,-0.186596,0.939083
11050,-0.00177,-0.17683,0.952878
11066,-0.001282,-0.185375,0.948239
11082,0.00116,-0.18977,0.943844
11097,0.00177,-0.190624,0.945187
11113,0.002747,-0.188427,0.949948
