27,0.021669,0.605445,-0.806018
43,0.021669,0.606299,-0.80907
58,0.02289,0.606055,-0.803821
74,0.021303,0.607154,-0.804554
90,0.024354,0.605933,-0.809559
105,0.01996,0.607276,-0.806018
121,0.024477,0.607032,-0.805164
136,0.024477,0.604468,-0.805408
152,0.020936,0.602759,-0.807117
168,0.021181,0.603003,-0.804431
183,0.0235,0.605078,-0.808948
199,0.021913,0.602026,-0.806385
214,0.021425,0.605689,-0.805164
230,0.021791,0.603858,-0.803699
246,0.023622,0.60398,-0.806385
262,0.022401,0.605201,-0.807117
277,0.024232,0.603736,-0.808216
293,0.024843,0.605445,-0.808216
308,0.022768,0.603736,-0.805164
324,0.018373,0.603247,-0.809315
340,0.022279,0.604224,-0.806507
355,0.022035,0.603491,-0.806751
371,0.020936,0.602881,-0.806873
387,0.019227,0.603247,-0.806385
402,0.026064,0.604956,-0.805042
418,0.023744,0.603247,-0.808338
434,0.024599,0.603125,-0.805164
449,0.024477,0.605078,-0.80492
465,0.024843,0.609107,-0.812244
480,0.021058,0.600684,-0.806141
496,0.0235,0.606543,-0.807117
512,0.02411,0.60691,-0.806385
527,0.020936,0.607398,-0.807972
543,0.025331,0.605201,-0.8026
558,0.021913,0.605567,-0.803943
574,0.020448,0.605323,-0.807117
590,0.022401,0.606055,-0.804309
605,0.026064,0.603369,-0.806385
621,0.02411,0.60398,-0.807483
637,0.024599,0.603003,-0.805652
652,0.024477,0.603613,-0.804431
668,0.021913,0.603003,-0.804554
683,0.021181,0.610084,-0.80846
700,0.025087,0.605201,-0.806507
715,0.023988,0.604468,-0.807239
730,0.023012,0.607154,-0.811268
746,0.023012,0.603247,-0.808338
762,0.021425,0.606299,-0.806629
777,0.022768,0.607154,-0.806629
793,0.023134,0.605201,-0.807361
809,0.020692,0.603613,-0.807605
824,0.023012,0.606055,-0.808948
840,0.022645,0.605567,-0.806018
855,0.020936,0.603491,-0.806507
871,0.020692,0.601294,-0.806385
886,0.025331,0.600439,-0.805164
902,0.022768,0.60398,-0.803821
918,0.023256,0.599341,-0.80907
933,0.021791,0.607154,-0.806385
949,0.021791,0.605689,-0.805286
965,0.023744,0.605078,-0.806629
980,0.019838,0.602149,-0.806873
996,0.023012,0.603125,-0.810169
1011,0.023012,0.603003,-0.80492
1027,0.021669,0.603003,-0.809192
1043,0.021181,0.604468,-0.807483
1058,0.022279,0.606055,-0.805042
1074,0.022523,0.601538,-0.803333
